Overall Qual,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Cars,Transformed Mas Vnr Area,Transformed Lot Area,Transformed 1st Flr SF,Transformed Gr Liv Area,Transformed Pool Area,Neighborhood_Gilbert,Neighborhood_GrnHill,Neighborhood_NWAmes,Neighborhood_NridgHt,Neighborhood_StoneBr,Neighborhood_Veenker,Roof Matl_ClyTile,Roof Matl_CompShg,Roof Matl_Tar&Grv,Roof Matl_WdShngl,Mas Vnr Type_None,Garage Type_2Types,Garage Type_None,Misc Feature_Elev,Kitchen Qual_encoded,Pool QC_encoded,Bsmt Exposure_encoded,Functional_encoded,Has Garage
6,2,1,3,1,7,1,2,0.0,9.21,6.64,7.41,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
6,2,0,3,1,6,0,2,0.0,8.98,7.08,7.08,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
6,2,1,3,1,7,1,2,0.0,9.04,6.67,7.29,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
7,1,1,2,1,5,1,2,0.0,9.23,7.2,7.2,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,4,7,1
8,1,1,1,1,4,0,2,0.0,8.83,7.32,7.32,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4,0,3,7,1
8,3,1,4,1,12,1,3,6.4,10.89,7.43,8.1,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,4,4,1
8,2,0,4,1,8,0,2,0.0,9.4,6.99,7.47,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,3,7,1
9,1,1,1,1,8,1,3,5.86,9.34,7.53,7.53,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,3,7,1
4,1,0,2,1,4,0,2,0.0,9.86,6.76,6.76,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
6,2,0,3,1,7,2,2,4.79,9.49,7.64,7.64,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,1,6,1
6,2,0,3,1,7,1,2,6.18,9.37,7.52,7.52,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
7,2,0,3,1,6,2,2,4.41,9.27,7.07,7.07,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,4,7,1
7,2,1,3,1,7,0,2,0.0,8.92,6.7,7.42,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
6,1,0,2,1,5,1,2,5.2,9.33,6.91,6.91,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
5,1,1,3,1,6,1,2,0.0,9.44,6.98,6.98,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
5,1,0,3,1,6,1,1,0.0,9.04,6.96,6.96,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
4,1,0,2,1,4,0,2,0.0,9.04,6.78,6.78,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
4,1,0,3,1,5,1,0,0.0,9.26,6.76,6.76,0.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,0,1,7,0
7,2,0,2,1,5,1,2,0.0,8.68,7.2,7.2,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
6,1,1,2,1,5,0,1,6.22,7.43,6.18,6.9,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
5,1,1,3,1,6,0,1,6.2,7.43,6.27,7.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
6,1,1,3,1,6,0,1,5.95,7.43,6.27,7.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
6,2,0,2,1,4,1,2,0.0,8.3,6.98,6.98,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
6,2,1,3,1,6,1,2,0.0,7.73,6.75,7.28,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
7,1,0,2,1,4,0,1,0.0,7.73,6.73,6.73,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
6,2,1,3,1,7,1,2,0.0,7.73,6.75,7.28,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
9,2,1,3,1,10,1,3,5.09,9.46,7.4,7.76,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,1,7,1
8,2,0,3,1,7,1,3,5.3,9.35,7.44,7.44,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
9,2,1,3,1,8,1,3,6.11,9.23,7.57,7.57,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,3,7,1
8,2,0,3,1,7,0,3,5.55,9.46,7.34,7.34,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
7,2,0,3,1,7,1,2,5.42,9.41,7.34,7.34,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,2,7,1
9,2,0,3,1,7,1,3,6.42,9.35,7.44,7.44,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,1,7,1
8,2,0,3,1,8,1,3,5.48,9.56,7.51,7.51,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,1,7,1
7,2,0,3,1,7,0,2,5.13,9.23,7.34,7.34,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
9,2,1,2,1,11,2,3,6.63,9.47,7.77,7.77,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,4,7,1
7,2,0,2,1,6,1,2,4.86,8.76,7.21,7.21,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,2,7,1
9,2,1,3,1,10,2,3,7.0,9.57,7.9,7.9,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,4,7,1
8,2,1,3,1,7,1,3,5.45,9.52,7.43,7.72,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,4,7,1
9,2,0,2,1,6,1,2,6.02,8.94,7.47,7.47,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,1,7,1
8,2,0,2,1,6,1,2,5.19,8.87,7.22,7.22,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,2,7,1
7,2,1,2,1,6,0,2,4.67,7.87,6.64,7.39,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
6,2,0,3,1,6,0,2,0.0,9.83,7.19,7.19,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
7,2,0,2,1,6,0,2,2.71,8.07,7.04,7.04,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,3,7,1
8,2,0,2,1,6,1,2,2.83,8.07,7.15,7.15,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
7,2,1,3,1,7,1,2,0.0,9.5,6.61,7.23,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
6,2,1,4,1,8,2,2,0.0,8.97,6.76,7.58,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
7,2,1,3,1,7,1,2,0.0,9.06,6.74,7.46,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
7,2,1,3,1,7,1,2,0.0,8.96,6.65,7.27,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
7,2,1,3,1,8,1,2,5.2,9.16,6.79,7.62,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
9,2,1,4,1,10,1,3,5.11,9.6,7.26,7.86,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
8,2,1,4,1,7,1,3,4.74,9.77,7.41,7.81,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
7,2,0,3,1,7,1,2,5.83,9.27,7.45,7.45,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
8,2,1,3,1,9,2,2,5.89,9.41,7.31,7.87,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,3,7,1
8,2,1,4,1,9,1,3,5.86,9.37,7.06,7.73,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
7,2,1,4,1,7,0,2,3.43,9.73,7.09,7.52,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
8,2,1,4,1,9,1,3,6.36,9.6,7.63,8.08,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,3,7,1
8,2,0,2,1,6,1,3,5.42,9.1,7.38,7.38,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,7,1
7,2,0,2,1,4,0,2,0.0,9.13,7.11,7.11,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
7,2,1,3,1,7,0,2,0.0,9.06,6.64,7.34,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,2,7,1
8,2,0,3,1,7,0,2,3.61,9.11,7.36,7.36,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,3,7,1
7,2,1,3,1,8,1,2,0.0,9.44,6.9,7.57,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
6,2,0,2,1,6,1,2,0.0,9.25,7.29,7.29,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
7,2,1,4,1,8,0,2,0.0,9.22,6.86,7.64,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
7,2,1,3,1,8,0,2,4.81,9.39,6.72,7.41,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,3,7,1
7,2,1,3,1,8,2,2,0.0,9.09,7.11,7.65,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
6,2,0,2,1,5,1,1,0.0,8.99,6.83,6.83,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
6,2,1,3,1,8,1,2,0.0,9.33,6.96,7.52,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
6,2,0,2,1,5,1,1,0.0,8.97,6.82,6.82,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
6,1,0,2,1,4,0,1,0.0,8.88,6.62,6.62,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
7,2,1,3,1,7,0,2,0.0,9.15,6.92,7.46,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
6,2,0,3,1,6,0,2,0.0,9.18,7.0,7.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
6,2,1,3,1,7,1,2,4.88,9.04,6.79,7.36,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
5,1,0,2,1,5,0,1,0.0,9.19,6.92,6.92,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
6,2,0,4,2,8,0,2,0.0,9.1,7.18,7.55,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,7,1
5,1,0,3,1,6,0,2,0.0,9.37,7.05,7.05,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,3,5,1
5,1,0,3,1,5,1,1,0.0,9.04,6.8,6.8,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
5,1,0,3,1,5,0,1,3.47,9.19,6.8,6.8,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
5,1,1,3,1,5,0,1,0.0,8.92,6.95,6.95,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
5,1,1,3,1,6,0,1,0.0,8.84,6.95,6.95,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
6,2,0,3,1,7,2,2,5.53,9.64,7.31,7.31,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4,7,1
7,2,1,3,1,8,1,2,0.0,9.23,6.97,7.56,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
8,2,1,4,1,9,1,3,6.22,9.48,7.13,7.76,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
8,2,1,4,1,7,1,3,5.2,9.32,7.25,7.71,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
7,2,0,2,1,6,1,2,0.0,8.48,7.31,7.31,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,3,7,1
7,2,1,2,1,3,0,2,0.0,8.17,6.73,7.43,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
7,2,1,2,1,4,0,2,4.8,8.08,6.4,7.09,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,3,7,1
7,2,1,2,1,4,0,2,0.0,8.07,6.4,7.09,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
7,2,1,2,1,4,0,2,0.0,7.84,6.4,7.09,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
6,2,1,2,1,4,0,2,5.38,7.84,6.4,7.12,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
7,2,1,2,1,7,1,2,6.07,8.39,7.3,7.3,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,3,7,1
6,2,1,3,1,5,0,2,5.38,7.66,6.65,7.36,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
6,2,1,2,1,5,0,2,7.06,8.0,6.63,7.32,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
7,2,1,3,1,6,0,2,0.0,7.85,6.55,7.26,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
7,2,1,2,1,4,0,2,0.0,7.78,6.27,6.99,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
8,1,1,1,1,6,1,3,0.0,9.46,7.26,7.26,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
8,2,1,3,1,7,1,2,0.0,8.91,6.88,7.52,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
8,1,0,1,1,3,1,2,0.0,8.39,6.67,6.67,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,4,7,1
8,1,0,1,1,4,1,2,0.0,8.26,7.11,7.11,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,4,7,1
6,2,1,3,1,6,0,2,5.67,9.51,6.59,7.3,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
7,2,0,3,1,6,1,2,0.0,8.99,7.31,7.31,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
6,2,0,4,1,8,0,2,4.8,9.26,7.51,7.51,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
6,2,1,4,1,9,1,2,0.0,9.29,7.16,7.82,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,4,0,2,7,1
6,2,0,3,1,6,2,2,3.37,9.27,7.38,7.38,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,2,7,1
6,3,0,3,1,7,1,2,0.0,9.84,7.16,7.55,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,0,2,7,1
7,2,1,3,1,7,1,2,3.76,9.25,6.89,7.45,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
6,1,1,3,1,5,1,2,0.0,9.14,7.23,7.23,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
6,1,2,4,1,7,0,2,0.0,9.17,6.84,7.41,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
5,1,1,3,1,6,0,2,5.15,9.17,7.12,7.12,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
6,1,1,3,1,6,2,2,6.11,9.19,7.19,7.19,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
4,1,1,3,1,6,0,0,0.0,9.14,7.11,7.11,0.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,0,1,7,0
5,1,0,3,1,6,0,2,0.0,9.2,7.1,7.1,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
5,2,0,3,1,6,0,2,5.59,9.18,7.32,7.32,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
6,2,0,3,1,8,0,2,0.0,9.27,7.03,7.48,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
5,1,0,3,1,6,1,2,4.47,9.55,7.05,7.05,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,7,1
6,1,0,3,1,6,0,2,5.06,9.08,6.96,6.96,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,4,7,1
5,2,0,6,2,10,0,0,4.98,9.49,7.46,7.46,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,7,0
5,1,0,2,1,5,0,1,0.0,9.18,6.98,6.98,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,2,7,1
5,2,0,3,1,7,2,2,5.58,9.18,7.57,7.81,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,5,1
6,2,0,3,1,6,1,2,5.83,9.76,6.93,7.35,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
5,1,0,2,1,4,0,0,0.0,8.88,6.76,6.76,0.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,0,4,7,0
3,1,0,3,1,6,0,0,0.0,8.59,7.18,7.18,0.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,1,4,0
5,1,0,3,1,6,0,1,4.71,9.2,6.97,6.97,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
6,1,0,3,1,7,2,1,5.11,9.17,7.33,7.33,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,7,1
5,1,0,2,1,7,1,1,5.3,8.96,7.15,7.15,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
6,1,0,2,1,5,1,1,5.38,9.34,7.03,7.03,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,4,7,1
5,2,0,5,2,12,0,2,5.89,9.36,7.01,7.73,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
7,2,0,3,1,7,1,2,5.66,9.9,7.7,7.7,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4,6,1
6,2,1,2,1,6,1,2,0.0,9.71,7.54,7.54,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,4,1
5,2,0,4,2,8,0,2,0.0,9.02,7.38,7.38,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
7,2,0,3,1,7,0,2,6.23,9.01,7.3,7.3,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
5,1,0,3,1,6,0,1,5.02,8.99,7.04,7.04,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
5,1,1,4,1,6,1,2,0.0,9.26,7.44,7.44,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
5,1,0,3,1,5,0,1,0.0,9.04,7.18,7.18,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
6,1,0,3,1,6,0,1,5.4,9.08,7.09,7.09,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
5,1,0,3,1,6,0,2,5.2,9.41,7.08,7.08,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
5,1,0,3,1,6,2,2,5.78,9.14,7.14,7.14,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
5,1,0,3,1,6,0,1,4.52,9.28,7.1,7.1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
6,1,1,3,1,6,2,2,6.07,9.21,7.37,7.37,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
4,1,0,3,1,5,0,1,0.0,9.03,6.73,7.2,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
5,1,0,2,1,4,0,1,0.0,9.3,6.97,6.97,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,7,1
5,1,0,3,1,5,0,1,0.0,9.3,6.88,6.88,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
5,1,0,2,1,5,0,1,0.0,9.52,6.9,6.9,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,3,7,1
5,1,0,3,1,5,0,1,0.0,8.98,6.96,6.96,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
4,1,0,2,1,4,0,2,0.0,8.97,6.89,6.89,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
5,1,0,2,1,5,1,1,0.0,8.88,6.72,6.72,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,4,1
5,1,0,3,1,6,0,2,4.65,9.23,6.99,6.99,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
5,1,0,2,1,4,0,1,0.0,8.68,6.84,6.84,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
6,1,0,3,1,6,1,1,0.0,9.77,6.82,7.29,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
6,0,0,0,2,4,0,2,0.0,8.85,6.96,6.96,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
5,1,0,3,1,7,1,2,0.0,9.19,7.16,7.16,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
7,2,1,5,1,11,1,2,5.71,9.33,7.55,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,7,1
6,1,0,3,1,5,0,1,0.0,9.0,6.71,7.11,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
5,1,1,3,1,6,0,1,0.0,8.92,7.13,7.13,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,7,1
5,2,0,4,1,6,0,2,0.0,9.05,6.81,7.23,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
5,1,0,3,1,5,0,2,0.0,8.88,6.8,6.8,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,2,7,1
6,1,1,3,1,5,0,2,5.57,9.21,7.02,7.02,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
5,1,1,3,1,6,0,2,0.0,8.94,7.07,7.07,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
6,1,0,2,1,7,1,2,5.39,9.19,7.24,7.24,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4,6,1
6,1,1,4,1,7,1,2,5.86,8.95,6.96,7.52,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,1
4,1,0,3,1,9,2,1,6.65,8.48,7.05,7.52,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,5,1
4,1,0,3,1,7,0,0,0.0,9.08,6.68,7.04,0.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,0,1,5,0
5,1,0,2,1,5,1,0,0.0,8.41,6.84,6.84,0.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,0,1,7,0
5,1,0,2,1,5,1,2,0.0,9.1,6.94,6.94,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
5,1,0,3,1,6,0,2,0.0,8.67,7.21,7.21,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,2,7,1
3,2,0,3,2,8,0,1,0.0,8.66,6.73,7.38,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
4,1,0,2,1,4,0,1,0.0,8.44,6.62,6.62,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
5,1,0,2,1,4,2,1,5.69,8.88,6.69,6.69,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,7,1
5,1,0,3,1,6,0,2,0.0,8.61,6.83,7.18,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1
6,1,0,3,1,6,0,1,0.0,8.84,6.72,7.13,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,7,1
