Overall Qual,Overall Cond,House Age,Restore Age,Full Bath,TotRms AbvGrd,Fireplaces,Garage Cars,Transformed Lot Frontage,Transformed Mas Vnr Area,Transformed BsmtFin SF 1,Transformed Bsmt Unf SF,Transformed Total Bsmt SF,Transformed Garage Area,Transformed Lot Area,Transformed 1st Flr SF,Transformed 2nd Flr SF,Transformed Gr Liv Area,Transformed Open Porch SF,MS SubClass_60,Mas Vnr Type_None,Foundation_CBlock,Foundation_PConc,Garage Type_Attchd,Garage Type_Detchd,Exter Qual_encoded,Bsmt Qual_encoded,Heating QC_encoded,Kitchen Qual_encoded,Fireplace Qu_encoded,Bsmt Exposure_encoded,BsmtFin Type 1_encoded,Garage Finish_encoded,Garage Age
9,5,20,20,2,7,1,3,4.51,6.42,4.71,7.37,7.44,6.59,9.35,7.44,0.0,7.44,4.32,0,0,0,1,1,0,4,5,5,5,4,1,6,3,20
8,5,20,19,2,8,1,3,4.38,5.48,3.37,7.49,7.51,6.52,9.56,7.51,0.0,7.51,4.79,0,0,0,1,1,0,4,5,5,5,4,1,6,2,20
7,5,21,21,2,7,0,2,4.26,5.13,1.1,7.32,7.33,6.28,9.23,7.34,0.0,7.34,0.0,0,0,0,1,1,0,4,4,5,4,0,1,6,2,21
9,5,16,15,2,11,2,3,4.62,6.63,7.69,4.96,7.75,6.71,9.47,7.77,0.0,7.77,4.22,0,0,0,1,1,0,5,5,5,5,4,4,6,3,16
7,5,16,15,2,6,1,2,3.81,4.86,6.6,6.44,7.21,6.18,8.76,7.21,0.0,7.21,3.58,0,0,0,1,1,0,4,4,5,4,4,2,6,2,15
9,5,22,21,2,10,2,3,4.71,7.0,7.23,7.3,7.95,6.87,9.57,7.9,0.0,7.9,5.02,0,0,0,1,1,0,5,5,5,5,4,4,6,3,22
8,5,23,23,2,7,1,3,4.66,5.45,6.36,7.0,7.42,6.63,9.52,7.43,6.34,7.72,4.88,1,0,0,1,1,0,4,4,5,4,5,4,6,3,23
9,5,20,20,2,6,1,2,4.13,6.02,6.12,7.17,7.47,6.36,8.94,7.47,0.0,7.47,4.42,0,0,0,1,1,0,5,5,5,5,4,1,6,2,20
8,5,19,19,2,6,1,2,3.74,5.19,3.22,7.21,7.22,6.18,8.87,7.22,0.0,7.22,3.91,0,0,0,1,1,0,4,4,5,4,4,2,6,2,19
7,5,22,22,2,6,0,2,3.61,4.67,0.0,6.64,6.64,6.16,7.87,6.64,6.76,7.39,3.33,0,0,0,1,0,0,4,4,5,4,0,1,1,2,22
6,5,20,20,2,6,0,2,4.62,0.0,0.0,7.19,7.19,6.07,9.83,7.19,0.0,7.19,3.18,0,1,0,1,1,0,4,4,5,4,0,1,1,3,20
7,5,19,19,2,6,0,2,3.78,2.71,2.83,7.03,7.04,6.08,8.07,7.04,0.0,7.04,4.76,0,0,0,1,1,0,4,4,5,4,0,3,6,3,19
8,5,21,20,2,6,1,2,3.78,2.83,3.22,7.12,7.14,6.07,8.07,7.15,0.0,7.15,3.04,0,0,0,1,1,0,4,4,5,4,3,1,6,3,21
7,5,21,21,2,7,1,2,4.22,0.0,5.79,4.08,5.95,5.99,9.5,6.61,6.45,7.23,0.0,0,1,0,1,0,0,4,4,5,4,4,1,6,3,21
6,5,23,23,2,8,2,2,4.16,0.0,6.44,5.46,6.76,6.09,8.97,6.76,7.0,7.58,3.89,1,1,0,1,0,0,4,4,5,4,3,1,6,3,23
7,5,21,21,2,7,1,2,4.16,0.0,0.0,6.74,6.74,6.07,9.06,6.74,6.79,7.46,3.89,1,1,0,1,0,0,4,4,5,4,4,1,1,3,21
7,5,25,25,2,7,1,2,4.16,0.0,5.53,4.91,5.95,5.99,8.96,6.65,6.49,7.27,0.0,0,1,0,1,0,0,3,4,5,3,3,1,6,3,25
7,5,24,24,2,8,1,2,3.93,5.2,0.0,6.79,6.79,6.08,9.16,6.79,7.05,7.62,3.89,1,0,0,1,0,0,4,4,5,4,4,1,1,3,24
9,5,26,26,2,10,1,3,4.69,5.11,0.0,7.24,7.24,6.66,9.6,7.26,7.07,7.86,3.43,1,0,0,1,0,0,4,4,5,4,3,1,1,3,26
8,5,27,27,2,7,1,3,4.11,4.74,0.0,7.4,7.4,6.87,9.77,7.41,6.72,7.81,5.15,1,0,0,1,1,0,4,5,5,4,3,1,1,3,27
7,5,29,29,2,7,1,2,4.09,5.83,6.82,6.69,7.45,6.27,9.27,7.45,0.0,7.45,4.04,0,0,0,1,1,0,4,4,5,4,3,1,6,3,29
8,5,31,30,2,9,2,2,4.6,5.89,6.94,6.07,7.29,6.57,9.41,7.31,7.02,7.87,3.5,1,0,0,1,1,0,4,5,5,4,3,3,6,2,31
8,7,26,18,2,9,1,3,4.53,5.86,6.26,6.44,7.05,6.51,9.37,7.06,7.01,7.73,4.06,1,0,0,1,1,0,4,4,5,4,4,1,6,3,26
7,5,27,27,2,7,0,2,4.08,3.43,0.0,7.09,7.09,6.19,9.73,7.09,6.47,7.52,4.41,1,0,0,1,1,0,4,4,4,3,0,1,1,3,27
8,5,30,29,2,9,1,3,4.04,6.36,6.71,7.1,7.62,6.5,9.6,7.63,7.08,8.08,4.47,0,0,0,1,1,0,4,4,5,4,5,3,6,3,29
8,5,20,19,2,6,1,3,4.3,5.42,0.0,7.38,7.38,6.78,9.1,7.38,0.0,7.38,0.0,0,0,0,1,1,0,4,4,5,4,4,0,1,2,20
7,5,16,15,2,4,0,2,4.53,0.0,0.0,7.11,7.11,6.52,9.13,7.11,0.0,7.11,4.92,0,1,0,1,1,0,4,4,5,4,0,1,1,2,16
7,5,16,16,2,7,0,2,4.29,0.0,3.22,6.6,6.63,6.42,9.06,6.64,6.66,7.34,3.83,1,1,0,1,1,0,3,4,5,4,0,2,6,1,16
8,5,17,17,2,7,0,2,4.33,3.61,6.98,6.19,7.36,6.62,9.11,7.36,0.0,7.36,5.13,0,0,0,1,1,0,4,4,5,4,0,3,6,2,17
7,5,21,20,2,8,1,2,4.62,0.0,5.41,6.65,6.9,6.52,9.44,6.9,6.86,7.57,4.92,1,1,0,1,1,0,4,4,5,4,4,1,6,2,21
6,5,20,20,2,6,1,2,4.44,0.0,7.25,4.01,7.29,6.27,9.25,7.29,0.0,7.29,4.63,0,1,0,1,1,0,4,5,5,4,4,1,6,3,20
7,5,21,21,2,8,0,2,4.34,0.0,6.49,5.71,6.86,6.43,9.22,6.86,7.03,7.64,3.83,1,1,0,1,0,0,4,4,5,4,0,1,6,2,21
7,5,21,21,2,8,0,2,4.26,4.81,0.0,6.72,6.72,6.18,9.39,6.72,6.72,7.41,4.23,1,0,0,1,1,0,4,4,5,4,0,3,1,2,21
7,5,31,23,2,8,2,2,4.19,0.0,6.55,5.54,6.86,6.14,9.09,7.11,6.79,7.65,4.88,1,1,0,1,1,0,4,4,5,4,2,1,6,2,31
6,5,45,45,2,5,1,1,3.93,0.0,6.3,5.57,6.83,5.58,8.99,6.83,0.0,6.83,0.0,0,1,1,0,1,0,3,4,3,3,3,1,4,2,45
6,5,33,33,2,8,1,2,4.26,0.0,0.0,6.96,6.96,6.14,9.33,6.96,6.67,7.52,4.65,1,1,0,1,1,0,4,4,5,4,3,1,1,2,33
6,5,46,46,2,5,1,1,4.03,0.0,0.0,6.82,6.82,5.58,8.97,6.82,0.0,6.82,0.0,0,1,1,0,1,0,3,4,3,3,3,1,1,1,46
6,5,41,41,1,4,0,1,3.93,0.0,6.44,0.0,6.61,5.58,8.88,6.62,0.0,6.62,0.0,0,1,1,0,1,0,3,4,3,3,0,1,5,1,41
7,7,32,22,2,7,0,2,4.09,0.0,6.0,6.39,6.9,6.13,9.15,6.92,6.59,7.46,4.26,1,1,0,1,1,0,4,4,5,4,0,1,4,2,32
6,5,41,40,2,6,0,2,4.41,0.0,5.83,6.56,6.95,6.18,9.18,7.0,0.0,7.0,0.0,0,1,0,1,1,0,3,4,3,3,0,1,6,1,39
6,6,45,44,2,7,1,2,4.26,4.88,0.0,6.48,6.48,6.17,9.04,6.79,6.52,7.36,3.93,1,0,1,0,1,0,3,4,3,3,3,1,1,1,45
5,5,105,75,1,5,0,1,4.26,0.0,0.0,6.71,6.71,6.06,9.19,6.92,0.0,6.92,0.0,0,1,0,0,0,1,3,3,3,3,0,1,1,1,105
6,5,47,47,2,8,0,2,4.23,0.0,0.0,0.0,0.0,6.29,9.1,7.18,6.37,7.55,0.0,0,1,0,0,1,0,3,0,3,3,0,0,0,1,47
5,7,64,30,1,6,0,2,4.49,0.0,6.8,5.35,7.01,6.36,9.37,7.05,0.0,7.05,0.0,0,1,1,0,0,1,3,3,3,4,0,3,5,1,38
5,8,60,16,1,5,1,1,4.19,0.0,6.32,5.42,6.8,5.82,9.04,6.8,0.0,6.8,4.98,0,1,1,0,0,1,3,3,5,3,4,1,6,1,52
5,5,58,58,1,5,0,1,4.28,3.47,6.11,6.07,6.78,5.64,9.19,6.8,0.0,6.8,0.0,0,0,1,0,0,1,3,3,3,3,0,1,4,1,55
5,5,62,62,1,5,0,1,4.33,0.0,6.72,5.38,6.95,5.73,8.92,6.95,0.0,6.95,0.0,0,1,1,0,1,0,3,3,2,3,0,1,5,3,62
5,8,63,15,1,6,0,1,4.39,0.0,6.49,5.95,6.95,5.56,8.84,6.95,0.0,6.95,4.65,0,1,1,0,0,1,3,3,5,3,0,1,5,1,63
6,6,51,23,2,7,2,2,3.69,5.53,4.84,5.41,7.1,6.14,9.64,7.31,0.0,7.31,0.0,0,0,1,0,1,0,3,3,5,3,2,4,4,3,51
7,5,33,33,2,8,1,2,4.68,0.0,6.51,4.34,6.62,6.34,9.23,6.97,6.76,7.56,3.69,1,1,0,1,1,0,4,4,5,4,3,1,6,2,33
8,5,32,32,2,9,1,3,4.45,6.22,5.53,0.0,7.12,6.64,9.48,7.13,7.0,7.76,4.88,1,0,0,1,1,0,4,4,5,4,3,1,2,2,32
8,5,33,32,2,7,1,3,4.49,5.2,7.03,5.57,7.24,6.57,9.32,7.25,6.71,7.71,3.43,1,0,0,1,1,0,4,4,5,4,3,1,6,2,33
7,5,21,20,2,6,1,2,3.26,0.0,7.17,5.25,7.31,6.23,8.48,7.31,0.0,7.31,3.93,0,1,0,1,1,0,4,5,5,4,4,3,6,3,21
7,5,21,21,2,3,0,2,3.69,0.0,0.0,6.73,6.73,6.38,8.17,6.73,6.73,7.43,4.72,0,1,0,1,1,0,4,4,5,4,0,1,1,2,21
7,5,21,21,2,4,0,2,3.43,4.8,5.64,5.77,6.4,6.18,8.08,6.4,6.4,7.09,5.15,0,0,0,1,0,1,4,4,5,4,0,3,6,2,21
7,5,21,20,2,4,0,2,3.43,0.0,0.0,6.4,6.4,6.18,8.07,6.4,6.4,7.09,5.15,0,1,0,1,0,1,4,4,5,4,0,1,1,2,21
7,5,21,20,2,4,0,2,3.22,0.0,5.91,5.25,6.4,6.18,7.84,6.4,6.4,7.09,5.15,0,1,0,1,0,1,4,4,5,4,0,1,6,2,21
6,5,20,20,2,4,0,2,3.22,5.38,5.93,5.42,6.4,6.18,7.84,6.4,6.46,7.12,5.12,0,0,0,1,0,1,4,4,5,4,0,1,6,2,20
7,5,16,16,2,7,1,2,4.19,6.07,6.36,6.79,7.29,6.18,8.39,7.3,0.0,7.3,4.98,0,0,0,1,1,0,5,5,5,4,4,3,6,3,16
6,5,25,25,2,5,0,2,4.19,5.38,5.94,5.94,6.63,6.09,7.66,6.65,6.69,7.36,3.5,0,0,0,1,0,1,4,4,5,4,0,1,6,1,25
6,5,25,25,2,5,0,2,4.42,7.06,6.15,5.67,6.63,6.09,8.0,6.63,6.63,7.32,3.5,0,0,0,1,0,1,4,4,5,4,0,1,6,1,25
7,5,26,26,2,6,0,2,3.22,0.0,6.41,4.53,6.55,6.18,7.85,6.55,6.58,7.26,3.81,0,1,0,1,0,1,4,4,5,4,0,1,5,1,26
7,5,22,22,2,4,0,2,3.58,0.0,5.5,5.66,6.27,6.21,7.78,6.27,6.31,6.99,3.93,0,1,0,1,1,0,4,4,5,4,0,1,6,2,22
8,5,15,15,1,6,1,3,4.06,0.0,6.94,6.42,7.4,6.75,9.46,7.26,0.0,7.26,5.26,0,1,0,1,1,0,4,5,5,4,4,1,6,2,15
8,5,25,25,2,7,1,2,4.23,0.0,6.18,6.2,6.88,6.39,8.91,6.88,6.77,7.52,5.22,1,1,0,1,1,0,4,4,5,4,3,1,6,2,25
8,5,45,45,1,3,1,2,3.43,0.0,6.59,0.0,6.59,6.18,8.39,6.67,0.0,6.67,3.76,0,1,1,0,0,1,4,4,3,4,3,4,6,3,45
8,6,47,47,1,4,1,2,3.71,0.0,6.96,5.16,7.11,6.18,8.26,7.11,0.0,7.11,4.37,0,1,1,0,1,0,4,4,3,4,3,4,6,3,47
6,8,49,20,2,6,0,2,3.75,5.67,6.28,5.26,6.59,6.17,9.51,6.59,6.63,7.3,3.81,1,0,1,0,1,0,4,3,5,4,0,1,6,2,49
7,5,23,23,2,6,1,2,4.39,0.0,6.73,6.49,7.31,6.39,8.99,7.31,0.0,7.31,4.93,0,1,0,1,1,0,4,4,5,4,4,1,6,2,23
6,6,58,58,2,8,0,2,4.39,4.8,6.23,7.19,7.51,6.28,9.26,7.51,0.0,7.51,4.34,0,0,1,0,1,0,3,3,4,3,0,1,6,2,58
6,5,32,32,2,9,1,2,4.39,0.0,7.04,4.97,7.16,6.49,9.29,7.16,7.1,7.82,3.5,1,1,0,1,1,0,3,4,5,4,3,2,6,1,32
6,7,48,24,2,6,2,2,4.39,3.37,7.09,6.02,7.38,6.18,9.27,7.38,0.0,7.38,4.23,0,0,0,1,1,0,3,3,4,4,3,2,5,2,48
6,5,47,47,3,7,1,2,4.39,0.0,6.53,6.2,7.11,6.52,9.84,7.16,6.41,7.55,4.25,0,1,0,1,1,0,3,4,3,3,3,2,5,2,47
7,5,37,37,2,7,1,2,4.39,3.76,5.98,6.38,6.89,6.21,9.25,6.89,6.6,7.45,4.2,1,0,1,0,1,0,3,4,3,3,3,1,6,1,37
6,7,53,19,1,5,1,2,4.37,0.0,6.89,5.19,7.06,6.52,9.14,7.23,0.0,7.23,0.0,0,1,1,0,1,0,3,3,3,4,3,1,5,2,53
6,6,54,54,1,7,0,2,4.39,0.0,5.8,5.96,6.57,6.09,9.17,6.84,6.57,7.41,4.37,1,1,1,0,1,0,3,3,3,3,0,1,5,2,54
5,5,59,59,1,6,0,2,4.39,5.15,6.55,6.28,7.12,6.2,9.17,7.12,0.0,7.12,5.42,0,0,1,0,1,0,3,3,3,3,0,1,3,2,59
6,5,62,62,1,6,2,2,4.39,6.11,6.35,6.52,7.19,6.27,9.19,7.19,0.0,7.19,3.3,0,0,1,0,1,0,3,3,3,3,4,1,5,1,62
4,5,66,66,1,6,0,0,4.36,0.0,6.35,5.95,6.86,0.0,9.14,7.11,0.0,7.11,0.0,0,1,1,0,0,0,3,3,2,3,0,1,5,0,0
5,5,59,59,1,6,0,2,4.51,0.0,6.97,5.02,7.1,6.22,9.2,7.1,0.0,7.1,0.0,0,1,0,1,1,0,3,4,4,3,0,1,4,2,59
5,6,58,58,2,6,0,2,4.49,5.59,6.92,6.22,7.32,6.25,9.18,7.32,0.0,7.32,3.71,0,0,1,0,1,0,3,3,5,4,0,1,4,2,58
6,5,61,61,2,8,0,2,4.29,0.0,0.0,6.28,6.28,6.18,9.27,7.03,6.47,7.48,5.15,0,1,1,0,1,0,3,3,3,3,0,1,1,1,61
5,7,61,61,1,6,1,2,4.39,4.47,6.92,4.93,7.05,6.18,9.55,7.05,0.0,7.05,0.0,0,0,0,1,1,0,3,3,3,3,4,3,6,2,61
6,7,62,62,1,6,0,2,4.39,5.06,6.64,5.16,6.84,6.18,9.08,6.96,0.0,6.96,0.0,0,0,0,1,1,0,3,3,5,4,0,4,6,2,62
5,6,63,24,2,10,0,0,4.6,4.98,7.31,5.43,7.46,0.0,9.49,7.46,0.0,7.46,0.0,0,0,1,0,0,0,3,3,3,3,0,1,4,0,0
5,6,75,29,1,5,0,1,4.23,0.0,3.91,0.0,6.98,5.48,9.18,6.98,0.0,6.98,0.0,0,1,1,0,1,0,3,3,4,4,0,2,6,1,75
5,7,73,23,2,7,2,2,4.23,5.58,6.51,6.15,7.04,5.99,9.18,7.57,6.28,7.81,0.0,0,0,1,0,0,1,4,3,4,3,4,1,2,1,31
6,6,76,75,2,6,1,2,4.8,5.83,5.71,6.18,6.66,6.15,9.76,6.93,6.29,7.35,0.0,0,0,1,0,1,0,3,3,3,3,4,1,3,1,76
5,7,67,17,1,4,0,0,3.93,0.0,6.55,5.09,6.76,0.0,8.88,6.76,0.0,6.76,0.0,0,1,1,0,0,0,3,3,4,3,0,4,4,0,0
3,2,85,59,1,6,0,0,4.03,0.0,0.0,6.59,6.59,0.0,8.59,7.18,0.0,7.18,0.0,0,1,1,0,0,0,3,3,5,2,0,1,1,0,0
5,5,71,71,1,6,0,1,4.39,4.71,5.87,6.02,6.96,5.64,9.2,6.97,0.0,6.97,0.0,0,0,1,0,1,0,3,3,3,3,0,1,3,2,71
6,6,70,53,1,7,2,1,4.39,5.11,6.51,5.86,7.05,5.9,9.17,7.33,0.0,7.33,0.0,0,0,1,0,0,0,3,3,5,3,4,3,4,2,70
5,6,71,71,1,7,1,1,4.37,5.3,6.29,6.59,7.15,5.5,8.96,7.15,0.0,7.15,4.6,0,0,0,1,1,0,3,3,4,3,4,1,2,3,71
6,8,59,17,1,5,1,1,4.33,5.38,6.85,4.92,6.99,5.76,9.34,7.03,0.0,7.03,0.0,0,0,1,0,1,0,3,3,4,4,4,4,6,1,59
5,5,65,65,2,12,0,2,4.39,5.89,6.1,6.5,7.01,6.18,9.36,7.01,7.06,7.73,0.0,0,0,1,0,0,1,3,3,3,3,0,1,3,1,65
7,5,55,36,2,7,1,2,4.29,5.66,6.82,6.94,7.57,6.36,9.9,7.7,0.0,7.7,0.0,0,0,1,0,1,0,3,4,3,3,4,4,6,2,55
6,6,59,23,2,6,1,2,4.93,0.0,5.51,6.32,7.33,6.36,9.71,7.54,0.0,7.54,0.0,0,1,1,0,1,0,4,3,5,4,4,1,5,3,59
5,5,67,67,2,8,0,2,4.26,0.0,0.0,7.38,7.38,6.36,9.02,7.38,0.0,7.38,0.0,0,1,1,0,1,0,3,3,3,3,0,1,1,1,67
7,5,22,16,2,7,0,2,4.26,6.23,7.08,5.68,7.3,6.43,9.01,7.3,0.0,7.3,4.3,0,0,0,1,1,0,4,4,5,4,0,1,6,2,22
5,5,66,66,1,6,0,1,4.29,5.02,6.75,4.84,7.04,5.73,8.99,7.04,0.0,7.04,0.0,0,0,1,0,1,0,3,3,3,3,0,1,4,2,66
5,5,66,66,1,6,1,2,4.26,0.0,6.93,5.94,7.24,6.1,9.26,7.44,0.0,7.44,3.66,0,1,1,0,1,0,3,3,4,4,4,1,3,2,66
5,6,68,68,1,5,0,1,4.26,0.0,6.83,5.97,7.18,5.69,9.04,7.18,0.0,7.18,0.0,0,1,1,0,1,0,3,3,3,3,0,1,3,2,68
6,6,66,66,1,6,0,1,4.3,5.4,0.0,7.09,7.09,5.75,9.08,7.09,0.0,7.09,0.0,0,0,1,0,1,0,3,3,3,3,0,1,1,2,66
5,5,66,66,1,6,0,2,4.29,5.2,6.91,5.24,7.08,6.28,9.41,7.08,0.0,7.08,0.0,0,0,1,0,1,0,3,3,2,3,0,1,3,2,66
5,5,65,65,1,6,2,2,4.3,5.78,6.55,6.35,7.15,6.14,9.14,7.14,0.0,7.14,0.0,0,0,1,0,1,0,3,3,3,3,4,1,3,1,65
5,5,66,66,1,6,0,1,4.48,4.52,6.84,5.6,7.1,5.75,9.28,7.1,0.0,7.1,3.09,0,0,1,0,1,0,3,3,2,3,0,1,3,2,66
