Overall Qual,Overall Cond,Bsmt Full Bath,Full Bath,Kitchen AbvGr,Transformed Lot Area,Transformed 1st Flr SF,Transformed Gr Liv Area,MS SubClass_85,MS SubClass_180,MS Zoning_FV,Land Contour_Bnk,Neighborhood_Edwards,Neighborhood_NAmes,Neighborhood_NWAmes,Neighborhood_StoneBr,Condition 2_Artery,Condition 2_PosN,House Style_2.5Unf,Roof Style_Flat,Exterior 1st_PreCast,Exterior 1st_Stone,Exterior 2nd_PreCast,Foundation_CBlock,Central Air_Y,Sale Condition_Family,Bsmt Qual_encoded,Kitchen Qual_encoded,Fireplace Qu_encoded,Garage Cond_encoded,Paved Drive_encoded
7,5,1,2,1,8.68,7.2,7.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,4,2,3,2
6,5,0,1,1,7.43,6.18,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
5,5,0,1,1,7.43,6.27,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
6,5,0,1,1,7.43,6.27,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,0,3,2
6,5,0,2,1,8.3,6.98,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,2,3,2
6,6,0,2,1,7.73,6.75,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,3,3,2
7,6,0,1,1,7.73,6.73,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,0,3,2
6,5,0,2,1,7.73,6.75,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,3,3,2
9,5,0,2,1,9.46,7.4,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,4,3,2
8,5,1,2,1,9.35,7.44,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,4,3,2
9,5,1,2,1,9.23,7.57,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,4,3,2
8,5,0,2,1,9.46,7.34,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
7,5,0,2,1,9.41,7.34,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,3,2
9,5,0,2,1,9.35,7.44,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,4,3,2
8,5,0,2,1,9.56,7.51,7.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,4,3,2
7,5,0,2,1,9.23,7.34,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
9,5,1,2,1,9.47,7.77,7.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,4,3,2
7,5,1,2,1,8.76,7.21,7.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,3,2
9,5,1,2,1,9.57,7.9,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,4,3,2
8,5,1,2,1,9.52,7.43,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,5,3,2
9,5,1,2,1,8.94,7.47,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,4,3,2
8,5,0,2,1,8.87,7.22,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,3,2
7,5,0,2,1,7.87,6.64,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
6,5,0,2,1,9.83,7.19,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
7,5,0,2,1,8.07,7.04,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
8,5,0,2,1,8.07,7.15,7.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,3,2
7,5,1,2,1,9.5,6.61,7.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,3,2
6,5,1,2,1,8.97,6.76,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,3,2
7,5,0,2,1,9.06,6.74,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,3,2
7,5,0,2,1,8.96,6.65,7.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,3,3,2
7,5,0,2,1,9.16,6.79,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,3,2
9,5,0,2,1,9.6,7.26,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,3,2
8,5,0,2,1,9.77,7.41,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,3,3,2
7,5,1,2,1,9.27,7.45,7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,3,2
8,5,1,2,1,9.41,7.31,7.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,3,3,2
8,7,0,2,1,9.37,7.06,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,3,2
7,5,0,2,1,9.73,7.09,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,3,2
8,5,1,2,1,9.6,7.63,8.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,5,3,2
8,5,0,2,1,9.1,7.38,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,3,2
7,5,0,2,1,9.13,7.11,7.11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
7,5,0,2,1,9.06,6.64,7.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
8,5,1,2,1,9.11,7.36,7.36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
7,5,0,2,1,9.44,6.9,7.57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,3,2
6,5,1,2,1,9.25,7.29,7.29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,4,3,2
7,5,1,2,1,9.22,6.86,7.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
7,5,0,2,1,9.39,6.72,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
7,5,1,2,1,9.09,7.11,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,2,3,2
6,5,0,2,1,8.99,6.83,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,3,3,2
6,5,0,2,1,9.33,6.96,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,3,2
6,5,0,2,1,8.97,6.82,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,3,3,2
6,5,1,1,1,8.88,6.62,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,0,3,2
7,7,0,2,1,9.15,6.92,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
6,5,0,2,1,9.18,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,3,2
6,6,0,2,1,9.04,6.79,7.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,3,3,2
5,5,0,1,1,9.19,6.92,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,2
6,5,0,2,2,9.1,7.18,7.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,2
5,7,1,1,1,9.37,7.05,7.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,0,3,2
5,8,1,1,1,9.04,6.8,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,4,3,2
5,5,0,1,1,9.19,6.8,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
5,5,1,1,1,8.92,6.95,6.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
5,8,1,1,1,8.84,6.95,6.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
6,6,1,2,1,9.64,7.31,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,2,3,2
7,5,1,2,1,9.23,6.97,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,3,2
8,5,1,2,1,9.48,7.13,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,3,2
8,5,1,2,1,9.32,7.25,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,3,2
7,5,1,2,1,8.48,7.31,7.31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,4,3,2
7,5,0,2,1,8.17,6.73,7.43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
7,5,0,2,1,8.08,6.4,7.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
7,5,0,2,1,8.07,6.4,7.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
7,5,1,2,1,7.84,6.4,7.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
6,5,1,2,1,7.84,6.4,7.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
7,5,1,2,1,8.39,7.3,7.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,4,3,2
6,5,0,2,1,7.66,6.65,7.36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
6,5,1,2,1,8.0,6.63,7.32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
7,5,1,2,1,7.85,6.55,7.26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
7,5,0,2,1,7.78,6.27,6.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
8,5,1,1,1,9.46,7.26,7.26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,4,3,2
8,5,1,2,1,8.91,6.88,7.52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,3,2
8,5,1,1,1,8.39,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,3,3,2
8,6,1,1,1,8.26,7.11,7.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,3,3,2
6,8,0,2,1,9.51,6.59,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,0,3,2
7,5,1,2,1,8.99,7.31,7.31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,3,2
6,6,1,2,1,9.26,7.51,7.51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
6,5,1,2,1,9.29,7.16,7.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,4,3,3,2
6,7,1,2,1,9.27,7.38,7.38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,4,3,3,2
6,5,0,3,1,9.84,7.16,7.55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,3,3,3,2
7,5,0,2,1,9.25,6.89,7.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,3,3,3,2
6,7,1,1,1,9.14,7.23,7.23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,4,3,3,2
6,6,0,1,1,9.17,6.84,7.41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
5,5,1,1,1,9.17,7.12,7.12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
6,5,1,1,1,9.19,7.19,7.19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,3,4,3,2
4,5,1,1,1,9.14,7.11,7.11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,2
5,5,1,1,1,9.2,7.1,7.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,3,2
5,6,1,2,1,9.18,7.32,7.32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,4,0,3,2
6,5,0,2,1,9.27,7.03,7.48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3,3,0,3,2
5,7,1,1,1,9.55,7.05,7.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,4,3,2
6,7,1,1,1,9.08,6.96,6.96,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,3,2
5,6,2,2,2,9.49,7.46,7.46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,2
5,6,1,1,1,9.18,6.98,6.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,4,0,3,2
5,7,0,2,1,9.18,7.57,7.81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,4,3,2
6,6,0,2,1,9.76,6.93,7.35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,4,3,2
5,7,1,1,1,8.88,6.76,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,2
3,2,0,1,1,8.59,7.18,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,0,0,2
5,5,1,1,1,9.2,6.97,6.97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
6,6,1,1,1,9.17,7.33,7.33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,4,3,2
5,6,0,1,1,8.96,7.15,7.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,4,3,2
6,8,1,1,1,9.34,7.03,7.03,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,4,4,3,2
5,5,0,2,2,9.36,7.01,7.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
7,5,1,2,1,9.9,7.7,7.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4,3,4,3,2
6,6,0,2,1,9.71,7.54,7.54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,4,4,3,2
5,5,0,2,2,9.02,7.38,7.38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
7,5,1,2,1,9.01,7.3,7.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,3,2
5,5,1,1,1,8.99,7.04,7.04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
5,5,0,1,1,9.26,7.44,7.44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,4,4,3,2
5,6,1,1,1,9.04,7.18,7.18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
6,6,1,1,1,9.08,7.09,7.09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
5,5,1,1,1,9.41,7.08,7.08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
5,5,1,1,1,9.14,7.14,7.14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,4,3,2
5,5,0,1,1,9.28,7.1,7.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
6,5,1,1,1,9.21,7.37,7.37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,4,3,2
4,5,0,1,1,9.03,6.73,7.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
5,7,0,1,1,9.3,6.97,6.97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,2,0,3,2
5,6,0,1,1,9.3,6.88,6.88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
5,5,1,1,1,9.52,6.9,6.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
5,7,1,1,1,8.98,6.96,6.96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,4,0,3,2
4,7,0,1,1,8.97,6.89,6.89,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,3,0
5,7,0,1,1,8.88,6.72,6.72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,2
5,7,1,1,1,9.23,6.99,6.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
5,7,1,1,1,8.68,6.84,6.84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
6,5,0,1,1,9.77,6.82,7.29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,4,3,2
6,5,2,0,2,8.85,6.96,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
5,7,1,1,1,9.19,7.16,7.16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,4,4,3,2
7,7,0,2,1,9.33,7.55,8.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4,4,4,3,2
6,8,1,1,1,9.0,6.71,7.11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
5,7,1,1,1,8.92,7.13,7.13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,4,0,3,2
5,4,0,2,1,9.05,6.81,7.23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
5,7,0,1,1,8.88,6.8,6.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,4,0,3,2
6,6,0,1,1,9.21,7.02,7.02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
5,6,0,1,1,8.94,7.07,7.07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
6,7,1,1,1,9.19,7.24,7.24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,3,3,2
6,5,0,1,1,8.95,6.96,7.52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,3,3,2
4,5,1,1,1,8.48,7.05,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,4,3,2
4,7,0,1,1,9.08,6.68,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0
5,7,1,1,1,8.41,6.84,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,4,0,1
5,6,0,1,1,9.1,6.94,6.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,4,3,2
5,7,1,1,1,8.67,7.21,7.21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,0,3,2
3,6,0,2,2,8.66,6.73,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,3,2
4,6,0,1,1,8.44,6.62,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
5,7,1,1,1,8.88,6.69,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,4,3,2
5,7,1,1,1,8.61,6.83,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,3,2
6,7,0,1,1,8.84,6.72,7.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,3,0
5,7,0,1,1,9.38,6.94,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,4,3,2
5,6,0,1,1,9.02,6.97,7.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,3,2
2,2,0,1,1,9.18,6.73,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,0
6,8,0,1,1,9.05,6.58,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,3,2
8,9,0,2,1,9.17,6.84,7.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,2
5,6,1,2,1,9.29,6.87,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,3,2
8,9,0,3,1,9.11,7.05,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,3,0
5,3,0,2,2,9.11,7.03,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
6,7,1,1,1,8.91,7.12,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
4,7,0,1,1,8.95,6.61,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,3,2
4,6,0,2,2,9.34,7.13,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,3,0
6,7,0,1,1,9.26,6.77,7.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,3,2
5,6,0,1,1,8.67,6.94,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,2
7,7,0,1,1,8.96,7.06,7.63,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,4,3,2
4,7,1,1,1,8.52,6.64,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,1
6,7,1,1,1,8.7,6.41,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,3,2
6,6,0,1,1,8.7,6.74,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,4,3,2
