Overall Qual,House Age,Full Bath,Garage Cars,Transformed BsmtFin SF 1,Transformed Total Bsmt SF,Transformed Lot Area,Transformed 1st Flr SF,Transformed Gr Liv Area,Bsmt Qual_encoded,Kitchen Qual_encoded
7,29,2,2,7.09,7.18,9.55,7.18,7.72,5,4
7,48,1,2,7.0,7.26,9.91,7.3,7.3,4,3
4,98,1,2,0.0,6.49,9.13,6.63,6.63,2,3
4,75,2,2,6.09,6.97,9.17,6.97,6.97,4,4
7,46,0,2,7.14,7.2,10.07,7.2,7.33,4,4
6,47,2,2,6.87,7.02,9.75,7.02,7.59,4,4
3,87,2,1,5.67,6.88,9.83,6.96,7.38,3,2
5,105,1,1,4.69,6.13,9.27,6.73,6.73,3,3
6,75,1,1,4.65,6.5,9.35,6.98,6.98,3,4
5,69,1,1,6.61,7.04,9.17,7.04,7.04,3,3
4,78,1,1,5.26,6.63,9.14,7.06,7.33,3,3
5,71,1,1,6.86,7.07,9.16,7.07,7.07,3,3
6,16,2,2,3.61,7.1,9.25,7.1,7.1,4,4
7,16,1,2,7.21,7.32,9.77,7.32,7.32,4,4
5,61,2,2,0.0,7.13,9.32,7.17,7.17,3,3
4,79,1,1,0.0,0.0,9.31,6.84,6.84,0,4
6,40,2,2,0.0,6.61,9.13,6.89,7.46,4,4
7,38,1,2,7.27,7.27,9.39,7.27,7.27,4,4
6,32,2,4,6.76,6.85,9.42,6.87,7.5,4,4
7,32,2,2,6.62,6.96,9.2,6.97,7.58,4,4
6,33,1,2,6.62,6.84,9.11,6.9,6.9,4,4
8,17,2,3,0.0,7.44,9.26,7.44,7.44,4,4
7,19,2,2,6.53,7.08,8.82,7.1,7.1,4,4
7,16,2,3,0.0,7.11,9.25,7.11,7.11,4,4
7,15,2,2,3.22,7.11,8.9,7.11,7.11,4,4
7,35,3,3,7.29,7.42,9.42,7.44,8.08,4,4
6,125,2,2,0.0,6.52,9.56,6.72,7.28,2,3
6,54,1,2,6.22,6.92,9.08,6.96,6.96,3,3
5,29,1,2,6.77,6.77,9.32,6.87,6.87,4,3
7,28,2,2,5.87,6.78,9.14,6.79,7.43,4,3
6,27,2,2,6.23,6.69,9.08,6.69,7.43,4,4
5,48,1,1,5.29,6.93,9.63,6.93,6.93,4,3
6,48,1,1,5.94,6.54,9.3,6.54,7.24,4,3
5,49,1,1,5.21,6.8,9.27,6.8,6.8,3,3
5,53,1,2,6.18,6.78,8.92,6.78,6.78,3,3
8,22,2,3,7.43,7.59,9.25,7.59,7.59,4,4
8,24,2,2,7.21,7.37,9.34,7.38,7.38,4,4
7,22,2,2,6.18,6.85,9.16,6.85,7.51,4,4
7,28,2,2,0.0,6.95,9.15,6.95,7.65,4,4
7,27,2,2,0.0,7.41,9.4,7.42,7.42,4,4
6,22,1,2,6.51,6.74,8.4,6.74,6.74,4,4
6,21,1,2,6.5,6.74,8.4,6.74,6.74,4,4
8,22,2,2,5.92,7.41,9.27,7.42,7.42,4,4
7,21,2,2,6.57,7.3,9.04,7.3,7.3,4,4
7,21,2,2,3.22,7.25,9.08,7.25,7.25,4,4
3,80,1,1,0.0,0.0,9.08,6.46,6.46,0,3
5,71,1,1,0.0,5.95,9.09,6.9,6.9,2,3
5,60,2,0,0.0,0.0,9.19,7.42,7.42,0,3
5,57,1,1,6.98,7.09,9.21,7.09,7.09,4,3
4,77,1,2,0.0,6.61,9.38,6.68,7.02,3,2
6,50,1,1,6.27,6.92,8.75,7.0,7.0,3,3
6,49,1,2,6.05,6.94,8.96,7.02,7.02,3,3
4,67,1,0,0.0,6.87,8.77,6.87,6.87,3,3
4,22,2,2,0.0,7.02,9.05,7.02,7.02,4,3
6,80,1,1,4.55,6.6,9.08,6.68,7.31,3,3
4,84,1,1,5.86,6.51,9.41,6.51,6.83,4,2
5,68,1,1,5.95,7.1,9.06,7.33,7.33,3,3
5,101,2,1,4.9,7.01,8.49,7.17,7.17,3,2
6,110,1,1,0.0,6.69,8.83,6.74,7.41,4,2
3,111,1,1,5.32,6.76,9.01,6.76,6.76,3,3
5,101,2,1,5.39,6.93,8.52,6.93,7.43,3,4
6,86,1,2,5.48,6.75,8.97,6.75,6.75,3,3
4,58,3,0,0.0,0.0,8.88,6.76,7.88,0,3
5,94,1,0,0.0,6.8,9.19,6.8,7.42,3,3
6,106,2,1,0.0,6.69,9.17,7.44,7.8,3,4
7,84,1,1,6.06,7.33,9.25,7.11,7.67,4,3
5,75,2,2,5.93,6.94,9.66,7.01,7.69,3,3
7,84,2,1,5.62,7.05,9.11,7.08,7.76,3,4
7,66,2,2,7.25,7.55,9.77,7.55,7.55,4,5
7,31,2,2,5.84,6.05,9.89,6.8,7.41,4,4
8,36,1,2,6.62,6.89,8.27,6.94,6.94,4,4
8,36,2,2,4.34,7.08,8.27,7.08,7.08,4,4
7,66,2,2,7.13,7.31,9.66,7.5,7.5,3,3
4,103,1,1,6.6,6.68,8.6,6.68,7.05,3,4
2,84,1,1,6.18,6.18,9.01,6.29,6.29,3,3
6,104,1,1,5.73,6.45,9.12,6.59,7.01,3,3
4,105,1,2,0.0,6.55,8.92,6.55,7.03,3,3
4,125,1,1,0.0,6.76,9.07,6.76,7.07,3,3
5,73,1,2,0.0,6.29,9.07,6.95,6.95,3,2
4,129,1,1,0.0,6.63,9.07,6.86,6.86,3,3
8,21,2,2,7.23,7.37,8.25,7.41,7.41,5,4
8,27,2,3,6.42,6.96,9.31,6.94,7.56,4,4
6,48,2,2,6.52,7.13,9.17,7.16,7.16,3,4
7,22,2,2,0.0,7.35,9.13,7.35,7.35,5,4
6,49,1,3,6.29,6.92,9.42,6.94,6.94,3,3
6,49,3,2,0.0,7.58,9.45,7.63,7.63,3,3
5,77,1,2,5.87,6.62,10.95,7.43,7.43,3,3
7,17,2,3,4.37,7.2,9.38,7.21,7.21,4,4
7,16,2,2,0.0,7.1,9.19,7.1,7.1,4,4
5,19,2,2,0.0,5.95,9.19,6.61,7.28,4,3
8,16,2,3,0.0,6.65,9.39,6.65,7.59,5,5
7,23,2,2,6.44,6.71,9.33,6.72,7.55,4,4
8,23,2,2,0.0,6.88,9.56,6.9,7.55,4,4
9,17,2,3,0.0,7.6,9.49,7.61,7.61,5,5
5,60,1,2,3.76,6.97,9.64,7.14,7.14,3,3
5,21,2,2,0.0,7.27,9.22,7.27,7.27,5,4
6,54,2,0,0.0,6.82,9.15,6.82,7.51,3,3
5,26,2,2,0.0,7.2,9.38,7.2,7.2,4,3
4,52,1,1,5.81,6.3,7.59,6.3,7.0,3,3
5,52,1,1,6.82,6.85,7.78,6.85,6.85,4,3
5,49,1,1,4.87,6.29,7.86,6.29,7.01,4,3
4,55,1,0,5.18,6.3,7.3,6.3,7.0,3,3
4,53,1,0,5.02,6.45,7.31,6.45,6.45,4,3
4,55,1,0,0.0,6.3,7.55,6.3,7.0,3,3
4,53,1,1,5.69,6.3,7.54,6.3,7.0,3,3
5,54,1,1,6.15,6.76,8.85,6.77,6.77,3,3
5,63,1,1,6.39,7.08,10.17,7.08,7.08,3,3
5,41,1,2,5.34,6.73,9.46,6.73,6.73,4,4
5,40,4,2,0.0,7.1,8.95,7.1,7.8,3,3
5,34,1,2,6.13,6.44,9.26,6.44,7.15,4,3
5,56,2,1,6.17,6.76,9.26,6.76,7.3,3,3
8,31,2,2,7.2,7.43,9.2,7.5,7.5,4,4
6,32,2,2,6.85,7.05,9.47,7.05,7.49,4,4
6,69,1,1,6.34,6.78,9.47,6.78,6.78,2,3
6,51,2,2,6.74,7.27,9.23,7.27,7.27,3,3
8,53,2,2,7.25,7.58,9.54,7.6,7.9,4,5
6,28,2,2,6.74,6.85,9.23,6.85,7.38,4,3
8,22,2,3,6.75,6.92,9.38,6.92,7.73,4,4
7,29,2,2,5.65,5.95,9.04,6.87,7.4,4,3
9,19,2,3,7.19,7.47,9.61,7.47,7.47,5,5
7,30,2,2,0.0,5.95,9.05,6.69,7.3,4,3
8,21,2,2,7.58,7.7,8.9,7.83,7.83,5,4
8,25,2,2,7.06,7.31,8.64,7.41,7.41,4,5
8,27,2,2,5.83,7.26,8.91,7.3,7.3,4,3
8,30,2,2,6.61,7.37,8.99,7.46,7.46,4,4
7,27,2,2,5.25,5.95,9.1,6.62,7.23,4,3
7,27,2,2,0.0,6.73,9.22,6.79,7.45,4,3
6,27,2,2,6.17,6.86,8.92,6.86,7.4,4,3
6,32,2,2,0.0,6.68,8.97,6.68,7.36,4,3
6,32,2,2,5.74,6.52,9.19,6.52,7.29,4,3
6,31,2,2,6.4,6.56,9.08,6.56,7.32,4,4
6,32,2,2,0.0,7.07,8.89,7.08,7.08,4,4
6,33,2,2,0.0,6.7,9.17,6.7,7.37,4,3
6,31,2,2,0.0,6.56,9.0,6.56,7.3,4,3
6,33,2,2,6.33,7.06,9.13,7.06,7.06,4,4
7,26,2,2,6.54,6.89,9.28,6.91,7.59,4,4
7,35,2,2,0.0,7.26,9.38,7.27,7.27,4,3
8,41,1,2,6.94,7.11,8.67,7.22,7.22,4,4
9,17,2,3,7.55,7.7,9.77,7.71,7.71,5,5
8,17,2,3,0.0,7.62,9.38,7.62,7.62,5,4
7,20,2,2,7.15,7.33,9.69,7.33,7.33,5,4
5,48,2,2,5.99,7.02,9.38,6.85,7.57,4,3
7,45,2,2,6.54,6.74,9.47,7.05,7.76,4,5
6,46,2,2,0.0,7.22,9.74,7.37,7.37,4,3
7,48,2,2,6.71,7.23,9.38,7.25,7.25,3,3
6,48,2,2,7.13,7.38,9.72,7.38,7.38,4,4
7,47,2,2,0.0,6.73,9.49,7.05,7.63,4,4
6,47,2,2,5.9,7.26,9.3,7.42,7.42,3,3
7,45,2,2,6.4,6.95,9.42,7.34,7.89,4,4
7,45,2,2,6.94,7.22,9.56,7.3,7.3,4,3
6,47,2,2,6.73,7.04,9.31,7.44,7.44,3,3
8,44,2,2,7.01,7.83,9.17,7.83,7.83,4,4
7,47,2,2,6.56,7.15,9.38,7.38,7.38,4,3
7,49,2,2,0.0,6.99,9.25,7.22,7.22,4,3
5,49,2,2,5.95,6.66,9.24,6.99,7.53,3,4
7,22,2,2,6.43,6.83,8.85,6.92,7.54,4,5
8,16,2,2,6.3,6.73,8.99,6.73,7.57,4,3
8,25,2,2,0.0,6.97,8.92,6.97,7.54,4,4
8,23,2,2,5.42,6.88,9.04,6.88,7.5,4,4
5,50,2,2,7.2,7.39,9.15,7.39,7.39,4,3
6,51,2,2,6.79,7.02,9.22,7.02,7.02,3,3
7,50,2,2,6.46,7.07,9.31,7.09,7.09,3,3
6,51,2,2,0.0,6.97,9.22,7.21,7.21,4,3
6,53,2,2,0.0,6.54,9.25,7.23,7.66,3,3
5,51,2,0,0.0,6.8,9.11,6.8,7.49,4,3
5,55,1,2,6.72,6.91,9.08,6.91,6.91,3,3
6,56,1,2,6.09,6.93,8.98,6.93,6.93,3,4
5,55,1,2,0.0,7.07,8.97,7.07,7.07,3,3
5,54,1,1,6.22,6.95,9.05,6.96,6.96,4,3
4,55,1,2,6.59,6.76,8.86,6.76,6.76,3,3
4,55,1,2,5.93,6.76,8.85,6.76,6.76,3,4
4,55,1,2,5.26,6.76,9.0,6.76,6.76,3,3
4,54,1,2,6.26,6.76,9.26,6.76,6.76,3,3
4,54,1,2,5.48,6.76,9.11,6.76,6.76,3,3
6,52,1,1,5.54,6.18,7.43,6.18,6.9,3,3
5,55,1,2,6.64,6.64,7.77,6.64,7.22,3,3
5,54,2,1,0.0,6.45,7.43,6.45,7.17,3,3
6,53,1,1,4.71,6.18,7.43,6.18,6.9,3,3
6,53,1,1,5.09,6.18,7.43,6.18,6.9,3,4
5,53,2,1,5.45,6.45,7.43,6.45,7.17,3,3
6,49,2,2,6.87,6.87,8.5,6.87,6.87,4,3
6,49,2,2,5.73,6.69,7.74,6.69,7.35,4,3
6,49,2,2,6.34,6.75,7.73,6.75,7.28,4,3
7,50,2,2,6.08,6.96,7.73,6.96,6.96,4,3
6,51,2,2,5.55,6.75,7.74,6.75,7.19,3,3
6,48,2,2,5.97,6.75,7.76,6.75,7.28,4,3
6,47,2,2,5.77,6.69,7.77,6.69,7.35,4,3
6,47,2,2,5.74,6.75,7.74,6.75,7.27,3,3
6,47,2,2,5.63,6.75,7.77,6.75,7.28,4,3
7,49,1,1,6.29,6.73,7.65,6.73,6.73,3,3
5,58,1,1,6.07,6.79,8.88,6.79,6.79,3,3
5,59,1,2,6.47,6.76,9.28,7.02,7.02,3,3
10,19,2,3,7.07,7.44,9.43,7.45,7.45,5,5
9,18,3,3,7.22,7.48,9.57,7.49,7.93,5,5
9,17,3,3,0.0,7.56,9.51,7.58,8.05,5,5
10,17,2,3,7.48,8.04,9.64,7.78,7.78,5,5
9,19,2,2,7.36,7.41,9.49,7.41,7.41,5,5
8,18,2,3,0.0,7.36,9.56,7.38,7.38,4,4
8,17,2,3,0.0,7.62,9.45,7.62,7.62,5,5
9,16,2,3,6.89,7.22,9.42,7.22,7.9,5,5
9,17,2,3,6.84,7.01,9.33,7.03,7.69,5,5
9,17,2,3,7.12,7.61,9.42,7.61,7.61,5,5
