Overall Qual,Overall Cond,Bsmt Full Bath,Full Bath,Half Bath,TotRms AbvGrd,Fireplaces,Garage Cars,Sold Age,Transformed Lot Frontage,Transformed Mas Vnr Area,Transformed BsmtFin SF 1,Transformed Lot Area,Transformed 1st Flr SF,Transformed 2nd Flr SF,Transformed Gr Liv Area,Transformed Screen Porch,MS SubClass_20,MS SubClass_30,MS SubClass_60,MS SubClass_75,MS Zoning_FV,Alley_None,Lot Shape_IR2,Land Contour_HLS,Lot Config_CulDSac,Lot Config_Inside,Land Slope_Mod,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_Crawfor,Neighborhood_GrnHill,Neighborhood_NPkVill,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_Somerst,Neighborhood_StoneBr,Condition 1_Norm,Condition 1_PosN,Bldg Type_1Fam,House Style_1Story,Roof Style_Hip,Roof Matl_WdShngl,Exterior 1st_BrkFace,Exterior 1st_CemntBd,Exterior 2nd_MetalSd,Mas Vnr Type_None,Mas Vnr Type_Stone,Foundation_Slab,Central Air_N,Garage Type_BuiltIn,Sale Condition_Partial,Exter Qual_encoded,Bsmt Qual_encoded,Heating QC_encoded,Kitchen Qual_encoded,Pool QC_encoded,Bsmt Exposure_encoded,BsmtFin Type 1_encoded,Functional_encoded,Garage Finish_encoded,Fence_encoded
6,5,0,2,1,7,1,2,15,4.33,0.0,0.0,9.21,6.64,6.79,7.41,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,4,4,3,0,1,1,7,3,0
6,7,1,2,0,6,0,2,15,4.16,0.0,6.84,8.98,7.08,0.0,7.08,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,4,5,3,0,1,5,7,3,4
6,5,0,2,1,7,1,2,15,4.16,0.0,0.0,9.04,6.67,6.52,7.29,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,4,4,3,0,1,1,7,3,0
7,5,1,1,1,5,1,2,15,4.45,0.0,6.46,9.23,7.2,0.0,7.2,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,4,4,4,0,4,6,7,1,0
8,5,1,1,1,4,0,2,15,4.47,0.0,5.91,8.83,7.32,0.0,7.32,4.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,4,3,4,0,3,6,7,2,0
8,5,1,3,1,12,1,3,15,3.87,6.4,7.26,10.89,7.43,7.37,8.1,5.35,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,5,4,5,5,0,4,5,4,3,0
8,7,0,2,0,8,0,2,15,5.03,0.0,6.06,9.4,6.99,6.51,7.47,0.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,4,4,3,0,3,6,7,2,0
9,2,1,1,1,8,1,3,15,4.49,5.86,7.28,9.34,7.53,0.0,7.53,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,4,5,5,5,0,3,6,7,3,0
4,5,0,1,0,4,0,2,15,4.95,0.0,4.8,9.86,6.76,0.0,6.76,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,3,5,3,0,1,2,7,1,0
6,6,1,2,0,7,2,2,15,4.45,4.79,6.67,9.49,7.64,0.0,7.64,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,4,3,3,0,1,5,6,1,3
6,6,0,2,0,7,1,2,15,4.66,6.18,6.56,9.37,7.52,0.0,7.52,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,4,5,3,0,1,4,7,2,3
7,6,1,2,0,6,2,2,15,4.45,4.41,6.79,9.27,7.07,0.0,7.07,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,4,6,7,2,3
7,5,1,2,1,7,0,2,15,4.19,0.0,6.28,8.92,6.7,6.76,7.42,0.0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,4,5,4,0,1,6,7,2,0
6,7,1,1,0,5,1,2,15,3.99,5.2,6.36,9.33,6.91,0.0,6.91,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,0,1,5,7,3,0
5,6,1,1,1,6,1,2,15,3.99,0.0,6.6,9.44,6.98,0.0,6.98,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,3,5,3,0,1,6,7,3,0
5,6,1,1,0,6,1,1,15,4.19,0.0,6.65,9.04,6.96,0.0,6.96,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,3,5,3,0,1,4,7,1,0
4,5,1,1,0,4,0,2,15,4.26,0.0,6.69,9.04,6.78,0.0,6.78,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,3,3,3,0,1,5,7,3,3
4,5,0,1,0,5,1,0,15,4.26,0.0,6.07,9.26,6.76,0.0,6.76,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,3,3,3,0,1,5,7,0,0
7,5,1,2,0,5,1,2,15,3.3,0.0,6.96,8.68,7.2,0.0,7.2,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,4,4,5,4,0,1,6,7,3,0
6,5,0,1,1,5,0,1,15,3.09,6.22,5.06,7.43,6.18,6.22,6.9,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,1,3,7,1,0
5,5,0,1,1,6,0,1,15,3.09,6.2,5.71,7.43,6.27,6.34,7.0,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,1,3,7,1,0
6,5,0,1,1,6,0,1,15,3.09,5.95,0.0,7.43,6.27,6.34,7.0,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,1,1,7,1,0
6,5,0,2,0,4,1,2,15,3.99,0.0,5.89,8.3,6.98,0.0,6.98,5.11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,4,3,3,0,1,5,7,2,0
6,6,0,2,1,6,1,2,15,3.22,0.0,6.24,7.73,6.75,6.4,7.28,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,4,0,1,5,7,1,0
7,6,0,1,0,4,0,1,15,3.22,0.0,0.0,7.73,6.73,0.0,6.73,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,4,5,3,0,1,1,7,1,0
6,5,0,2,1,7,1,2,15,3.22,0.0,5.74,7.73,6.75,6.4,7.28,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,2,3,0,1,5,7,1,0
9,5,0,2,1,10,1,3,15,4.63,5.09,0.0,9.46,7.4,6.56,7.76,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,5,5,5,5,0,1,1,7,3,0
8,5,1,2,0,7,1,3,15,4.6,5.3,7.11,9.35,7.44,0.0,7.44,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,5,5,4,0,1,6,7,2,0
9,5,1,2,1,8,1,3,15,4.43,6.11,7.41,9.23,7.57,0.0,7.57,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,5,5,5,5,0,3,6,7,3,0
8,5,0,2,0,7,0,3,15,4.55,5.55,0.0,9.46,7.34,0.0,7.34,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,4,4,5,4,0,1,1,7,2,0
7,5,0,2,0,7,1,2,15,4.56,5.42,7.09,9.41,7.34,0.0,7.34,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,4,5,4,0,2,4,7,2,0
9,5,0,2,0,7,1,3,15,4.51,6.42,4.71,9.35,7.44,0.0,7.44,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,5,5,5,0,1,6,7,3,0
8,5,0,2,0,8,1,3,15,4.38,5.48,3.37,9.56,7.51,0.0,7.51,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,4,5,5,5,0,1,6,7,2,0
7,5,0,2,0,7,0,2,15,4.26,5.13,1.1,9.23,7.34,0.0,7.34,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,0,1,6,7,2,0
9,5,1,2,1,11,2,3,15,4.62,6.63,7.69,9.47,7.77,0.0,7.77,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,5,5,5,5,0,4,6,7,3,0
7,5,1,2,0,6,1,2,15,3.81,4.86,6.6,8.76,7.21,0.0,7.21,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,4,5,4,0,2,6,7,2,0
9,5,1,2,1,10,2,3,15,4.71,7.0,7.23,9.57,7.9,0.0,7.9,0.0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,4,6,7,3,0
8,5,1,2,1,7,1,3,15,4.66,5.45,6.36,9.52,7.43,6.34,7.72,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,0,4,6,7,3,0
9,5,1,2,0,6,1,2,15,4.13,6.02,6.12,8.94,7.47,0.0,7.47,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,5,5,5,5,0,1,6,7,2,0
8,5,0,2,0,6,1,2,15,3.74,5.19,3.22,8.87,7.22,0.0,7.22,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,4,5,4,0,2,6,7,2,0
7,5,0,2,1,6,0,2,15,3.61,4.67,0.0,7.87,6.64,6.76,7.39,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,4,5,4,0,1,1,7,2,0
6,5,0,2,0,6,0,2,15,4.62,0.0,0.0,9.83,7.19,0.0,7.19,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4,4,5,4,0,1,1,7,3,0
7,5,0,2,0,6,0,2,15,3.78,2.71,2.83,8.07,7.04,0.0,7.04,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,0,3,6,7,3,0
8,5,0,2,0,6,1,2,15,3.78,2.83,3.22,8.07,7.15,0.0,7.15,4.98,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,0,1,6,7,3,0
7,5,1,2,1,7,1,2,15,4.22,0.0,5.79,9.5,6.61,6.45,7.23,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,4,5,4,0,1,6,7,3,0
6,5,1,2,1,8,2,2,15,4.16,0.0,6.44,8.97,6.76,7.0,7.58,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,4,5,4,0,1,6,7,3,0
7,5,0,2,1,7,1,2,15,4.16,0.0,0.0,9.06,6.74,6.79,7.46,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,4,5,4,0,1,1,7,3,0
7,5,0,2,1,7,1,2,15,4.16,0.0,5.53,8.96,6.65,6.49,7.27,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,4,5,3,0,1,6,7,3,0
7,5,0,2,1,8,1,2,15,3.93,5.2,0.0,9.16,6.79,7.05,7.62,0.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,4,5,4,0,1,1,7,3,0
9,5,0,2,1,10,1,3,15,4.69,5.11,0.0,9.6,7.26,7.07,7.86,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,4,5,4,0,1,1,7,3,0
8,5,0,2,1,7,1,3,15,4.11,4.74,0.0,9.77,7.41,6.72,7.81,5.55,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,5,5,4,0,1,1,7,3,0
7,5,1,2,0,7,1,2,15,4.09,5.83,6.82,9.27,7.45,0.0,7.45,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,4,5,4,0,1,6,7,3,0
8,5,1,2,1,9,2,2,15,4.6,5.89,6.94,9.41,7.31,7.02,7.87,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,4,0,3,6,7,2,0
8,7,0,2,1,9,1,3,15,4.53,5.86,6.26,9.37,7.06,7.01,7.73,0.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,0,1,6,7,3,0
7,5,0,2,1,7,0,2,15,4.08,3.43,0.0,9.73,7.09,6.47,7.52,0.0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,0,1,1,7,3,0
8,5,1,2,1,9,1,3,15,4.04,6.36,6.71,9.6,7.63,7.08,8.08,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,4,5,4,0,3,6,7,3,0
8,5,0,2,0,6,1,3,15,4.3,5.42,0.0,9.1,7.38,0.0,7.38,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,0,0,1,7,2,0
7,5,0,2,0,4,0,2,15,4.53,0.0,0.0,9.13,7.11,0.0,7.11,0.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,4,4,5,4,0,1,1,7,2,0
7,5,0,2,1,7,0,2,15,4.29,0.0,3.22,9.06,6.64,6.66,7.34,0.0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,4,5,4,0,2,6,7,1,0
8,5,1,2,0,7,0,2,15,4.33,3.61,6.98,9.11,7.36,0.0,7.36,0.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,4,5,4,0,3,6,7,2,0
7,5,0,2,1,8,1,2,15,4.62,0.0,5.41,9.44,6.9,6.86,7.57,0.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,4,5,4,0,1,6,7,2,2
6,5,1,2,0,6,1,2,15,4.44,0.0,7.25,9.25,7.29,0.0,7.29,5.38,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4,5,5,4,0,1,6,7,3,0
7,5,1,2,1,8,0,2,15,4.34,0.0,6.49,9.22,6.86,7.03,7.64,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,4,5,4,0,1,6,7,2,0
7,5,0,2,1,8,0,2,15,4.26,4.81,0.0,9.39,6.72,6.72,7.41,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,0,3,1,7,2,0
7,5,1,2,1,8,2,2,15,4.19,0.0,6.55,9.09,7.11,6.79,7.65,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,4,5,4,0,1,6,7,2,0
6,5,0,2,0,5,1,1,15,3.93,0.0,6.3,8.99,6.83,0.0,6.83,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,4,3,3,0,1,4,7,2,0
6,5,0,2,1,8,1,2,15,4.26,0.0,0.0,9.33,6.96,6.67,7.52,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,4,5,4,0,1,1,7,2,4
6,5,0,2,0,5,1,1,15,4.03,0.0,0.0,8.97,6.82,0.0,6.82,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,4,3,3,0,1,1,7,1,0
6,5,1,1,0,4,0,1,15,3.93,0.0,6.44,8.88,6.62,0.0,6.62,4.51,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,4,3,3,0,1,5,7,1,3
7,7,0,2,1,7,0,2,15,4.09,0.0,6.0,9.15,6.92,6.59,7.46,0.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,4,5,4,0,1,4,7,2,0
6,5,0,2,0,6,0,2,15,4.41,0.0,5.83,9.18,7.0,0.0,7.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,3,4,3,3,0,1,6,7,1,4
6,6,0,2,1,7,1,2,15,4.26,4.88,0.0,9.04,6.79,6.52,7.36,5.32,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,1,1,7,1,3
5,5,0,1,0,5,0,1,15,4.26,0.0,0.0,9.19,6.92,0.0,6.92,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,3,3,3,3,0,1,1,7,1,0
6,5,0,2,0,8,0,2,15,4.23,0.0,0.0,9.1,7.18,6.37,7.55,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,3,3,0,0,0,7,1,0
5,7,1,1,0,6,0,2,15,4.49,0.0,6.8,9.37,7.05,0.0,7.05,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,4,0,3,5,5,1,3
5,8,1,1,0,5,1,1,15,4.19,0.0,6.32,9.04,6.8,0.0,6.8,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,3,3,5,3,0,1,6,7,1,3
5,5,0,1,0,5,0,1,15,4.28,3.47,6.11,9.19,6.8,0.0,6.8,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,3,3,3,0,1,4,7,1,3
5,5,1,1,1,5,0,1,15,4.33,0.0,6.72,8.92,6.95,0.0,6.95,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,3,2,3,0,1,5,7,3,3
5,8,1,1,1,6,0,1,15,4.39,0.0,6.49,8.84,6.95,0.0,6.95,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,3,5,3,0,1,5,7,1,0
6,6,1,2,0,7,2,2,15,3.69,5.53,4.84,9.64,7.31,0.0,7.31,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,3,5,3,0,4,4,7,3,4
